model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,score_mode,conflict_score,neutral_mean,neutral_std,stroop_effect,answer_prior_target_minus_distractor_sum,lexical_target_minus_distractor_sum,answer_prior_target_minus_distractor_mean,lexical_target_minus_distractor_mean,lexical_distractor_advantage_sum,lexical_distractor_advantage_mean,word_zipf,target_zipf,distractor_zipf,target_minus_distractor_zipf,word_n_tokens,target_n_tokens,distractor_n_tokens,target_minus_distractor_tokens,is_single_token_pair
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,sum_logprob,5.9375,7.979166746139526,0.4621056985159626,2.0416667461395264,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,mean_logprob,5.9375,7.979166746139526,0.4621056985159626,2.0416667461395264,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,sum_logprob,6.250000238418579,9.625000129143396,1.7225524581297655,3.3749998907248173,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,mean_logprob,6.250000238418579,9.625000129143396,1.7225524581297655,3.3749998907248173,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,glossary,sum_logprob,1.5,5.06250015894572,0.31124743249908704,3.5625001589457197,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,glossary,mean_logprob,1.5,5.06250015894572,0.31124743249908704,3.5625001589457197,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,technical_document,sum_logprob,7.374999523162842,8.770833214124044,0.42695617721235135,1.3958336909612026,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,technical_document,mean_logprob,7.374999523162842,8.770833214124044,0.42695617721235135,1.3958336909612026,0.9375,5.0625,0.9375,5.0625,-5.0625,-5.0625,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,1,large,small,big,antonym_remapping,synonym,definition_scope,sum_logprob,5.4375,6.343750079472859,0.38476888587477354,0.9062500794728594,1.125,1.875,1.125,1.875,-1.875,-1.875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,1,large,small,big,antonym_remapping,synonym,definition_scope,mean_logprob,5.4375,6.343750079472859,0.38476888587477354,0.9062500794728594,1.125,1.875,1.125,1.875,-1.875,-1.875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,1,large,small,big,antonym_remapping,synonym,game_rule,sum_logprob,8.875000059604645,11.12500007947286,0.4921253876626185,2.2500000198682155,1.125,1.875,1.125,1.875,-1.875,-1.875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,1,large,small,big,antonym_remapping,synonym,game_rule,mean_logprob,8.875000059604645,11.12500007947286,0.4921253876626185,2.2500000198682155,1.125,1.875,1.125,1.875,-1.875,-1.875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,1,large,small,big,antonym_remapping,synonym,glossary,sum_logprob,2.5625,4.416666746139526,0.7922147702270649,1.8541667461395264,1.125,1.875,1.125,1.875,-1.875,-1.875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
