model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,condition,neutral_word,probe,mean_logprob_distractor,mean_logprob_target,n_cont_tokens_distractor,n_cont_tokens_target,sum_logprob_distractor,sum_logprob_target,score_sum_logprob,score_mean_logprob
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,answer_prior,probe,,answer_prior,-27.157732009887695,-27.157732009887695,1,1,-27.157732009887695,-27.157732009887695,0.0,0.0
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,conflict,,main,-11.191225051879883,-10.784975051879883,1,1,-11.191225051879883,-10.784975051879883,0.40625,0.40625
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,item,main,-15.24474048614502,-13.76036548614502,1,1,-15.24474048614502,-13.76036548614502,1.484375,1.484375
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,label,main,-16.09406280517578,-12.332344055175781,1,1,-16.09406280517578,-12.332344055175781,3.76171875,3.76171875
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,marker,main,-22.329076766967773,-16.282201766967773,1,1,-22.329076766967773,-16.282201766967773,6.046875,6.046875
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,object,main,-15.551631927490234,-14.490108489990234,1,1,-15.551631927490234,-14.490108489990234,1.0615234375,1.0615234375
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,symbol,main,-16.211666107177734,-15.16479206085205,1,1,-16.211666107177734,-15.16479206085205,1.0468740463256836,1.0468740463256836
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,thing,main,-14.39406681060791,-13.45656681060791,1,1,-14.39406681060791,-13.45656681060791,0.9375,0.9375
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,conflict,,main,-16.750333786010742,-14.750333786010742,1,1,-16.750333786010742,-14.750333786010742,2.0,2.0
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,item,main,-25.32734489440918,-21.47578239440918,1,1,-25.32734489440918,-21.47578239440918,3.8515625,3.8515625
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,label,main,-23.479660034179688,-19.026535034179688,1,1,-23.479660034179688,-19.026535034179688,4.453125,4.453125
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,marker,main,-27.593730926513672,-25.117168426513672,1,1,-27.593730926513672,-25.117168426513672,2.4765625,2.4765625
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,object,main,-26.36063575744629,-23.05985450744629,1,1,-26.36063575744629,-23.05985450744629,3.30078125,3.30078125
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,symbol,main,-25.94453239440918,-22.65156364440918,1,1,-25.94453239440918,-22.65156364440918,3.29296875,3.29296875
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,thing,main,-23.87986946105957,-20.22361946105957,1,1,-23.87986946105957,-20.22361946105957,3.65625,3.65625
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,conflict,,main,-14.522022247314453,-10.115772247314453,1,1,-14.522022247314453,-10.115772247314453,4.40625,4.40625
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,item,main,-17.43912696838379,-10.454751968383789,1,1,-17.43912696838379,-10.454751968383789,6.984375,6.984375
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,label,main,-18.95972442626953,-10.569098472595215,1,1,-18.95972442626953,-10.569098472595215,8.390625953674316,8.390625953674316
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,marker,main,-19.671005249023438,-10.077255249023438,1,1,-19.671005249023438,-10.077255249023438,9.59375,9.59375
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,object,main,-18.636144638061523,-11.651769638061523,1,1,-18.636144638061523,-11.651769638061523,6.984375,6.984375
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,symbol,main,-17.76778793334961,-8.658411979675293,1,1,-17.76778793334961,-8.658411979675293,9.109375953674316,9.109375953674316
gemma2_9b_base,google/gemma-2-9b,Gemma,9.0,base,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,thing,main,-16.835308074951172,-10.179058074951172,1,1,-16.835308074951172,-10.179058074951172,6.65625,6.65625
