model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,condition,neutral_word,probe,mean_logprob_distractor,mean_logprob_target,n_cont_tokens_distractor,n_cont_tokens_target,sum_logprob_distractor,sum_logprob_target,score_sum_logprob,score_mean_logprob
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,answer_prior,probe,,answer_prior,-23.901596069335938,-25.182846069335938,1,1,-23.901596069335938,-25.182846069335938,-1.28125,-1.28125
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,conflict,,main,-19.043447494506836,-15.793447494506836,1,1,-19.043447494506836,-15.793447494506836,3.25,3.25
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,item,main,-24.491785049438477,-17.304285049438477,1,1,-24.491785049438477,-17.304285049438477,7.1875,7.1875
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,label,main,-24.4537296295166,-17.5797061920166,1,1,-24.4537296295166,-17.5797061920166,6.8740234375,6.8740234375
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,marker,main,-23.287763595581055,-14.342452049255371,1,1,-23.287763595581055,-14.342452049255371,8.945311546325684,8.945311546325684
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,object,main,-23.359878540039062,-15.925308227539062,1,1,-23.359878540039062,-15.925308227539062,7.4345703125,7.4345703125
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,symbol,main,-23.040241241455078,-14.604694366455078,1,1,-23.040241241455078,-14.604694366455078,8.435546875,8.435546875
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,thing,main,-22.062429428100586,-13.812429428100586,1,1,-22.062429428100586,-13.812429428100586,8.25,8.25
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,conflict,,main,-11.743096351623535,-13.118096351623535,1,1,-11.743096351623535,-13.118096351623535,-1.375,-1.375
qwen25_15b_instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,1.5,instruct,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,item,main,-23.991191864013672,-23.858379364013672,1,1,-23.991191864013672,-23.858379364013672,0.1328125,0.1328125
