word,distractor,target,item_id,word_id,distractor_id,target_id,conflict_prompt,model_key
small,tiny,big,0,2613,13673,2409,"Complete the answer with one word only.
In this game, small means big.
Question: In this game, a synonym of small is
Answer:",qwen25_15b_base
large,big,small,1,3460,2409,2613,"Complete the answer with one word only.
In this game, large means small.
Question: In this game, a synonym of large is
Answer:",qwen25_15b_base
hot,warm,cold,2,4017,8205,9255,"Complete the answer with one word only.
In this game, hot means cold.
Question: In this game, a synonym of hot is
Answer:",qwen25_15b_base
cold,chilly,hot,3,9255,80875,4017,"Complete the answer with one word only.
In this game, cold means hot.
Question: In this game, a synonym of cold is
Answer:",qwen25_15b_base
sad,unhappy,happy,5,12421,42151,6247,"Complete the answer with one word only.
In this game, sad means happy.
Question: In this game, a synonym of sad is
Answer:",qwen25_15b_base
fast,quick,slow,6,4937,3974,6301,"Complete the answer with one word only.
In this game, fast means slow.
Question: In this game, a synonym of fast is
Answer:",qwen25_15b_base
slow,sluggish,fast,7,6301,86946,4937,"Complete the answer with one word only.
In this game, slow means fast.
Question: In this game, a synonym of slow is
Answer:",qwen25_15b_base
bright,shiny,dark,8,9906,41199,6319,"Complete the answer with one word only.
In this game, bright means dark.
Question: In this game, a synonym of bright is
Answer:",qwen25_15b_base
dark,dim,bright,9,6319,5103,9906,"Complete the answer with one word only.
In this game, dark means bright.
Question: In this game, a synonym of dark is
Answer:",qwen25_15b_base
hard,tough,soft,10,2588,11045,8413,"Complete the answer with one word only.
In this game, hard means soft.
Question: In this game, a synonym of hard is
Answer:",qwen25_15b_base
soft,gentle,hard,11,8413,21700,2588,"Complete the answer with one word only.
In this game, soft means hard.
Question: In this game, a synonym of soft is
Answer:",qwen25_15b_base
strong,powerful,weak,12,3746,7988,7469,"Complete the answer with one word only.
In this game, strong means weak.
Question: In this game, a synonym of strong is
Answer:",qwen25_15b_base
weak,frail,strong,13,7469,90123,3746,"Complete the answer with one word only.
In this game, weak means strong.
Question: In this game, a synonym of weak is
Answer:",qwen25_15b_base
old,aged,new,14,2310,19749,501,"Complete the answer with one word only.
In this game, old means new.
Question: In this game, a synonym of old is
Answer:",qwen25_15b_base
new,fresh,old,15,501,7722,2310,"Complete the answer with one word only.
In this game, new means old.
Question: In this game, a synonym of new is
Answer:",qwen25_15b_base
clean,neat,dirty,16,4240,28485,18595,"Complete the answer with one word only.
In this game, clean means dirty.
Question: In this game, a synonym of clean is
Answer:",qwen25_15b_base
dirty,filthy,clean,17,18595,77342,4240,"Complete the answer with one word only.
In this game, dirty means clean.
Question: In this game, a synonym of dirty is
Answer:",qwen25_15b_base
rich,wealthy,poor,18,9080,27894,7852,"Complete the answer with one word only.
In this game, rich means poor.
Question: In this game, a synonym of rich is
Answer:",qwen25_15b_base
poor,needy,rich,19,7852,82463,9080,"Complete the answer with one word only.
In this game, poor means rich.
Question: In this game, a synonym of poor is
Answer:",qwen25_15b_base
safe,secure,dangerous,20,6092,9767,11406,"Complete the answer with one word only.
In this game, safe means dangerous.
Question: In this game, a synonym of safe is
Answer:",qwen25_15b_base
dangerous,risky,safe,21,11406,40173,6092,"Complete the answer with one word only.
In this game, dangerous means safe.
Question: In this game, a synonym of dangerous is
Answer:",qwen25_15b_base
easy,simple,hard,22,4135,4285,2588,"Complete the answer with one word only.
In this game, easy means hard.
Question: In this game, a synonym of easy is
Answer:",qwen25_15b_base
loud,noisy,quiet,24,17361,49280,11340,"Complete the answer with one word only.
In this game, loud means quiet.
Question: In this game, a synonym of loud is
Answer:",qwen25_15b_base
quiet,silent,loud,25,11340,21059,17361,"Complete the answer with one word only.
In this game, quiet means loud.
Question: In this game, a synonym of quiet is
Answer:",qwen25_15b_base
