model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,condition,neutral_word,probe,mean_logprob_distractor,mean_logprob_target,n_cont_tokens_distractor,n_cont_tokens_target,sum_logprob_distractor,sum_logprob_target,score_sum_logprob,score_mean_logprob
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,answer_prior,probe,,answer_prior,-12.378087043762207,-11.440587043762207,1,1,-12.378087043762207,-11.440587043762207,0.9375,0.9375
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,conflict,,main,-10.892818450927734,-4.955318450927734,1,1,-10.892818450927734,-4.955318450927734,5.9375,5.9375
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,item,main,-12.391908645629883,-4.016908168792725,1,1,-12.391908645629883,-4.016908168792725,8.375000476837158,8.375000476837158
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,label,main,-11.152885437011719,-3.902885675430298,1,1,-11.152885437011719,-3.902885675430298,7.249999761581421,7.249999761581421
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,marker,main,-11.768821716308594,-3.8313212394714355,1,1,-11.768821716308594,-3.8313212394714355,7.937500476837158,7.937500476837158
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,object,main,-11.801557540893555,-3.6765575408935547,1,1,-11.801557540893555,-3.6765575408935547,8.125,8.125
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,symbol,main,-12.454964637756348,-3.954965114593506,1,1,-12.454964637756348,-3.954965114593506,8.499999523162842,8.499999523162842
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,thing,main,-11.510461807250977,-3.8229615688323975,1,1,-11.510461807250977,-3.8229615688323975,7.687500238418579,7.687500238418579
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,conflict,,main,-6.81928825378418,-0.5692880153656006,1,1,-6.81928825378418,-0.5692880153656006,6.250000238418579,6.250000238418579
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,item,main,-10.144739151000977,-1.0197391510009766,1,1,-10.144739151000977,-1.0197391510009766,9.125,9.125
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,label,main,-9.293994903564453,-2.293994426727295,1,1,-9.293994903564453,-2.293994426727295,7.000000476837158,7.000000476837158
qwen25_15b_base,Qwen/Qwen2.5-1.5B,Qwen,1.5,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,marker,main,-11.492948532104492,-1.1179484128952026,1,1,-11.492948532104492,-1.1179484128952026,10.37500011920929,10.37500011920929
